# Odyssey index — anglicized pronunciations. Format: headword <TAB> say <TAB> variant(optional)
# House style: see index/pron-key.md. CAPS = primary stress; uh = schwa.
# Lines starting with # are ignored. Transparent English names are intentionally absent.
Achaea	uh-KEE-uh
Pharos	FAIR-os	FAR-os
Pheae	FEE-ee
Pheidon	FY-don
Phemius	FEE-mee-us
Pherae	FEE-ree
Pheres	FEE-reez
Philoctetes	fil-ok-TEE-teez
Philoetius	fil-EE-tee-us
Philomeleides	fil-oh-muh-LY-deez
Phoenicia	fih-NISH-uh
Phoenicians	fih-NISH-unz
Phorcys	FOR-sis
Phronius	FROH-nee-us
Phrontis	FRON-tis
Phthia	FTHY-uh	THY-uh
Phylace	fih-LAY-see
Phylacus	FIL-uh-kus
Phylo	FY-loh
Pieria	py-EER-ee-uh
Piraeus	py-REE-us
Planctae	PLANK-tee
Poias	POH-yas
Polites	poh-LY-teez
Polybus	POL-ih-bus
Polycaste	pol-ih-KAS-tee
Polyctor	poh-LIK-tor
Polydamna	pol-ih-DAM-nuh
Polydeuces	pol-ih-DYOO-seez
Polypemon	pol-ih-PEE-mon
Polypheides	pol-ih-FY-deez
Polyphemus	pol-ih-FEE-mus
Polytherses	pol-ih-THUR-seez
Pontonous	pon-TON-oh-us
Poseidon	poh-SY-dun
Priam	PRY-am
Procris	PROK-ris
Proteus	PROH-tee-us
Psyria	SY-ree-uh
Pylians	PY-lee-unz
Pylos	PY-los
Pyriphlegethon	pir-ih-FLEJ-uh-thon
Pytho	PY-thoh
Rhadamanthus	rad-uh-MAN-thus
Rheithron	REE-thron
Rhexenor	rek-SEE-nor
Salmoneus	sal-MOH-nee-us
Same	SAY-mee	SAH-mee
Scheria	SKEER-ee-uh
Scylla	SIL-uh
Scyros	SKY-ros
Sicania	sih-KAY-nee-uh
Sicilians	sih-SIL-yunz
Sidon	SY-don
Sidonians	sy-DOH-nee-unz
Sintians	SIN-tee-unz
Sirens	SY-runz
Sisyphus	SIS-ih-fus
Solymi	SOL-ih-my
Stratius	STRAT-ee-us
Styx	STIKS
Sunium	SOO-nee-um
Syrie	SEE-ree
Tantalus	TAN-tuh-lus
Taphians	TAF-ee-unz
Taphos	TAF-os
Taygetus	tay-IJ-uh-tus
Telamon	TEL-uh-mon
Telemachus	tuh-LEM-uh-kus
Telemus	TEL-uh-mus
Telephus	TEL-uh-fus
Telepylus	tuh-LEP-ih-lus
Temese	TEM-uh-see
Tenedos	TEN-uh-dos
Terpes	TUR-peez
Themis	THEM-is
Theoclymenus	thee-oh-KLIM-uh-nus	thee-oh-KLY-men-us
Theseus	THEE-see-us
Thesprotians	thes-PROH-shunz
Thetis	THEE-tis	THET-is
Thoas	THOH-as
Thon	THON
Thoosa	thoh-OH-suh
Thrasymedes	thras-ih-MEE-deez
Thrinacia	thrih-NAY-shuh
Thyestes	thy-ES-teez
Tiresias	ty-REE-see-us
Tithonus	tih-THOH-nus
Tityus	TIT-ee-us
Tydeus	TY-dee-us
Tyndareus	tin-DAIR-ee-us
Tyro	TY-roh
Zacynthus	zuh-SIN-thus
Zethus	ZEE-thus
Zeus	ZOOS
